"district","conservativenessRepresentative","republicanRepresentative","blackDistrictPop","districtMedianIncome","districtHS","districtBachelors"
"1","AK.0",0.427,1,3.3,66521,91,27.9
"2","AL.1",0.55,1,27.6,42333,83.1,21.5
"3","AL.2",0.51,1,30.8,40626,82,20.1
"4","AL.3",0.474,1,32.2,38260,79.5,19.9
"5","AL.4",0.459,1,5,37889,76.7,12.1
"6","AL.5",-0.091,0,17.5,46786,84,26.9
"7","AL.6",0.535,1,11.4,57797,87.9,33.5
"8","AL.7",-0.22,0,63.2,31875,80.7,16.8
"9","AR.1",-0.291,0,16.7,35025,80.3,14.4
"10","AR.2",-0.232,0,20.7,44379,86.5,25.5
"11","AR.3",0.564,1,2.4,41615,82.8,22
"12","AR.4",-0.157,0,24.4,35424,81.9,15
"13","AZ.1",0.408,1,1.6,42336,83.4,19.1
"14","AZ.2",0.929,1,3.6,52833,88.5,21.4
"15","AZ.3",0.936,1,3.3,57733,91.2,34
"16","AZ.4",-0.399,0,8.8,36542,66.1,13.1
"17","AZ.5",0.783,1,3.6,60724,92.7,42.4
"18","AZ.6",0.974,1,3.1,60444,90,27.9
"19","AZ.7",-0.551,0,3.9,39963,75.6,15
"20","AZ.8",0.521,1,3.5,51230,92.5,34.7
"21","CA.1",-0.386,0,1.8,50805,85.8,28.1
"22","CA.10",-0.281,0,7.4,81518,90.5,40.5
"23","CA.11",0.508,1,4.7,77900,86.6,32.9
"24","CA.12",-0.357,0,2.2,86482,88.9,44.3
"25","CA.13",-0.658,0,7.2,76547,85.8,36
"26","CA.14",-0.363,0,2.8,94875,91.2,57
"27","CA.15",-0.498,0,2.5,88090,89.7,47.2
"28","CA.16",-0.387,0,2.9,76454,78.4,33.1
"29","CA.17",-0.433,0,2.4,59495,74.4,24.8
"30","CA.18",-0.218,0,5.8,42658,67.4,10.9
"31","CA.19",0.65,1,3.9,53757,79.9,21.3
"32","CA.2",0.697,1,1.2,44266,84.7,20.4
"33","CA.20",-0.17,0,6.3,35085,56,7.9
"34","CA.21",0.648,1,2.3,48471,73.2,18
"35","CA.22",0.5,1,6.3,55679,82.4,20.6
"36","CA.23",-0.358,0,2,56960,74.9,27.4
"37","CA.24",0.556,1,1.5,78937,88.7,34.2
"38","CA.25",0.546,1,9.8,62381,80.8,20.9
"39","CA.26",0.594,1,4.5,77092,89.5,36.6
"40","CA.27",-0.316,0,4.3,59392,81.4,30.2
"41","CA.28",-0.342,0,3.6,52152,71.2,28
"42","CA.29",-0.295,0,5.2,59776,82.4,39
"43","CA.3",0.641,1,6.3,66263,89.1,28.2
"44","CA.30",-0.435,0,3.2,80507,95.4,60.7
"45","CA.31",-0.47,0,4.1,36469,59.8,19.9
"46","CA.32",-0.479,0,2.2,52719,66.5,16.7
"47","CA.33",-0.499,0,26.4,43186,78,33.5
"48","CA.34",-0.431,0,4.7,38383,54.9,12
"49","CA.35",-0.602,0,29.7,42713,67.8,18.3
"50","CA.36",-0.245,0,4.3,69375,85.6,43.8
"51","CA.37",-0.373,0,22.3,46964,71.7,19.3
"52","CA.38",-0.409,0,3.3,54326,65.9,15.2
"53","CA.39",-0.467,0,5.6,56364,69.9,17.1
"54","CA.4",0.592,1,1.5,64849,91.9,29.5
"55","CA.40",0.914,1,2.4,69707,82.3,30.6
"56","CA.41",0.488,1,6.1,51170,83.1,20.7
"57","CA.42",0.657,1,2.6,88819,90,39.4
"58","CA.43",-0.306,0,11,49836,66.5,11.4
"59","CA.44",0.489,1,5.4,70452,80.7,26
"60","CA.45",0.648,1,6.7,54027,78.4,20.2
"61","CA.46",0.91,1,1.6,76031,88.4,40.4
"62","CA.47",-0.341,0,1.4,52723,60.2,15.6
"63","CA.48",0.8885,1,1.6,86989,93.2,53.9
"64","CA.49",0.71,1,4.7,61437,81.1,22.8
"65","CA.5",-0.398,0,13.8,47715,80.9,24.5
"66","CA.50",0.601705882352941,1,1.8,79032,88.9,44.1
"67","CA.51",-0.614,0,7.9,51158,73.2,18.8
"68","CA.52",0.608,1,4.4,70747,88.9,31.3
"69","CA.53",-0.301,0,6.7,51061,86.1,39.9
"70","CA.6",-0.561,0,2.2,70712,88.3,40.7
"71","CA.7",-0.576,0,15.1,64508,84.3,24.4
"72","CA.8",-0.432,0,7,67894,85.7,50.6
"73","CA.9",-0.655,0,20.8,55237,83.9,43.2
"74","CO.1",-0.413,0,10.1,45045,84.3,40.5
"75","CO.2",-0.328,0,1.1,65156,90,42.4
"76","CO.3",-0.235,0,0.8,47651,89,26.9
"77","CO.4",0.751,1,1,52067,89.4,33.6
"78","CO.5",0.888,1,5.6,54352,91.7,32.9
"79","CO.6",0.954,1,2.6,85841,96.5,48.5
"80","CO.7",0.749,1,7,51305,85.5,28.1
"81","CT.1",-0.371,0,14.2,61717,87.9,32.9
"82","CT.2",0.343,1,3.6,70796,90.8,32.6
"83","CT.3",-0.404,0,12.9,62090,89,31.8
"84","CT.4",0.479,1,11.8,83791,88.1,46.7
"85","CT.5",0.294,1,6,65725,87.3,34
"86","DE.0",0.613,1,21,57599,87.7,27.8
"87","FL.1",0.829,1,14.1,47257,86.9,22.8
"88","FL.10",0.477,1,5.3,45641,88.4,27.7
"89","FL.11",-0.224,0,28.5,39605,82.6,25.2
"90","FL.12",0.614,1,15.4,46057,82.5,19.7
"91","FL.13",0.695,1,5.3,48592,88.4,26.4
"92","FL.14",0.854,1,6.9,52244,87.7,26.9
"93","FL.15",0.654,1,9.2,47978,88.1,23.9
"94","FL.16",0.52,1,8.8,47617,85.9,23.1
"95","FL.17",-0.315,0,58.9,36812,76.9,16.7
"96","FL.18",0.426,1,7.6,40934,76.7,30.3
"97","FL.19",-0.368,0,11.7,50239,88.8,30.2
"98","FL.2",-0.155,0,21.7,44103,85.2,25.9
"99","FL.20",-0.375,0,11.9,55466,90.8,35.8
"100","FL.21",0.463,1,8.6,48408,78.6,26
"101","FL.22",0.403,1,6.3,61940,91.9,37.8
"102","FL.23",-0.512,0,56.2,38201,75,16.3
"103","FL.24",0.842,1,7.9,54670,90.7,29.4
"104","FL.25",0.644,1,10.6,54438,77.5,23.3
"105","FL.3",-0.374,0,52.9,34382,78.9,14.4
"106","FL.4",0.534,1,14.8,54160,89.3,26.5
"107","FL.5",0.566,1,6.1,45352,87.4,20.6
"108","FL.6",0.758,1,14,46815,87.1,24.3
"109","FL.7",0.631,1,9.5,50780,88.7,29.5
